,test_accuracy,test_loss,train_loss
2927,0.6764843750000001,152.84265289306646,151.58879585266112
2928,0.6822265624999996,152.76186744689937,151.56884284973145
2929,0.7057812499999997,152.68686874389644,151.54066612243662
2930,0.6802343750000001,152.84827239990238,151.5759118652344
2931,0.6733984375,152.8209300994873,151.57100555419927
2932,0.6898828125,152.74263839721687,151.56293678283686
2933,0.6867187500000006,152.71835327148438,151.55567382812498
2934,0.6874999999999996,152.7434297943116,151.55912620544433
2935,0.7177734374999998,152.58554832458495,151.51287849426274
2936,0.6941015625000004,152.7428923034668,151.54822052001958
2937,0.6978515624999994,152.74875587463373,151.54722274780278
2938,0.6999609375000005,152.65737533569327,151.5384799957276
2939,0.7012890625000003,152.63195594787598,151.54050071716318
2940,0.6899218750000001,152.67584358215333,151.55098884582526
2941,0.6947656250000002,152.70401870727528,151.55622879028314
2942,0.6827734375000001,152.76280273437507,151.57427894592288
2943,0.6984374999999999,152.68830352783203,151.54049224853512
2944,0.7030078124999996,152.6603469848633,151.5412677764894
2945,0.694765625,152.6950267028809,151.55408515930174
2946,0.7149609375000003,152.59676681518548,151.51948982238775
2947,0.7049218750000001,152.62874717712404,151.5321006774903
2948,0.6784765625000003,152.77104522705082,151.57304039001457
2949,0.6999609375000001,152.69971038818372,151.53348800659168
2950,0.6831640625000001,152.7292571258545,151.5728896331787
2951,0.6905078124999998,152.7268569946288,151.5522788238525
2952,0.7019140624999997,152.6826847076416,151.53958992004394
2953,0.6773046875000001,152.77658874511715,151.57370597839352
2954,0.6938281249999997,152.6970635986328,151.5505171966553
2955,0.7005468749999996,152.66584320068364,151.53957458496103
2956,0.694140625,152.71343749999997,151.54801185607914
2957,0.7021875000000003,152.651028442383,151.5415459442138
2958,0.6801562500000005,152.76904212951658,151.57411697387693
2959,0.6944531249999998,152.69565948486334,151.55185058593747
2960,0.6865234374999999,152.71738433837888,151.55691947936998
2961,0.6974999999999995,152.69405059814446,151.53991622924804
2962,0.6942187499999996,152.72934852600105,151.55582572937018
2963,0.6707812499999999,152.828263168335,151.58371971130364
2964,0.6842968749999998,152.7521891021729,151.56308883667
2965,0.6719140624999999,152.84087371826158,151.5699324035644
2966,0.6733984375,152.79015922546375,151.5710882568359
2967,0.7017968750000005,152.6819313812256,151.53713531494145
2968,0.6998828125000004,152.69788909912117,151.55020462036134
2969,0.6896093749999997,152.72430870056155,151.5661660003662
2970,0.7065234374999999,152.6869869995118,151.53309890747067
2971,0.6981640624999994,152.63933258056645,151.54676376342772
2972,0.6951171875000001,152.69126777648927,151.54526176452626
