,test_accuracy,test_loss,train_loss
2870,0.7242187499999999,152.65280502319334,151.5459606170654
2871,0.7204296874999998,152.65998291015626,151.5532242584229
2872,0.7008984374999997,152.81878257751472,151.58090324401846
2873,0.7396093749999997,152.61415634155264,151.529377822876
2874,0.7158203124999996,152.66362701416003,151.56290748596197
2875,0.7189453124999996,152.68824165344233,151.55682548522938
2876,0.7259765624999996,152.66192321777342,151.5435121154785
2877,0.7176171874999995,152.66127250671394,151.55430610656737
2878,0.7142968750000004,152.70796791076657,151.5596334075929
2879,0.7327343750000004,152.63198127746577,151.5407120513916
2880,0.719453125,152.64694824218765,151.55248184204103
2881,0.7343750000000003,152.60040824890135,151.53237106323243
2882,0.7430468750000002,152.58378738403323,151.5296543884278
2883,0.7332812499999993,152.58733001708995,151.5406572723389
2884,0.7043750000000001,152.72543678283688,151.57650703430178
2885,0.7247265625000001,152.63408096313478,151.55038665771497
2886,0.7372265624999997,152.61766456604002,151.52846069335942
2887,0.7043359374999995,152.7377588653566,151.575881881714
2888,0.7061328124999999,152.72855979919436,151.56848228454587
2889,0.7137890624999997,152.73133293151866,151.55241973876954
2890,0.6939843749999994,152.8291917419433,151.59549865722659
2891,0.7275781250000002,152.65742897033692,151.54406784057622
2892,0.7137109374999999,152.7146659851074,151.55419616699223
2893,0.7145703124999999,152.72714492797854,151.56203468322758
2894,0.7330078124999998,152.58645179748535,151.52623085021975
2895,0.7145703124999999,152.70994880676258,151.55691749572748
2896,0.7155468749999998,152.69453819274898,151.5622853851318
2897,0.7427343749999995,152.5539758300781,151.52523864746098
2898,0.7070312500000002,152.74803237915054,151.5795478820801
2899,0.7154296874999997,152.68655891418453,151.5621256256104
2900,0.7262890624999996,152.6731787109375,151.53838317871103
2901,0.7241015625,152.68501594543446,151.55453338623045
2902,0.6957812499999997,152.8259683227539,151.58796897888175
2903,0.7008984374999999,152.7872798919677,151.57990783691406
2904,0.7288671875,152.67224822998045,151.5419960784911
2905,0.7039453124999998,152.75841064453127,151.5669943237305
2906,0.7105468749999996,152.6968813323975,151.5620032501221
2907,0.7187890624999999,152.68268890380855,151.5572049713135
2908,0.7102734375,152.71067138671867,151.5601647949218
2909,0.7043749999999996,152.7369966888427,151.56108627319338
2910,0.7057421874999997,152.7044152832031,151.57612602233888
2911,0.7092187499999995,152.71803222656249,151.56452545166013
2912,0.7137890624999997,152.74635597229008,151.56134101867679
2913,0.726171875,152.63911125183114,151.54231811523442
2914,0.6996484375000003,152.79921455383308,151.58688385009762
2915,0.6792187499999996,152.88941169738777,151.62187545776357
2916,0.718125,152.69520042419435,151.56230308532704
2917,0.7147656249999996,152.6976906585694,151.56382225036623
2918,0.7342968750000002,152.60357009887707,151.53760978698716
2919,0.7124218749999999,152.71240150451658,151.5531665039062
2920,0.7179296875000002,152.74528030395516,151.55215446472164
2921,0.7082031249999997,152.7203469085692,151.56043701171865
2922,0.7075781249999998,152.69402496337892,151.5736170959473
2923,0.7178125000000002,152.69470603942878,151.5520165252685
2924,0.7151171875000001,152.68953590393065,151.5578524780273
2925,0.7188281249999997,152.70111160278321,151.54927925109865
2926,0.7312109375,152.65177070617685,151.54470001220696
2927,0.7211718749999992,152.64345817565925,151.55743141174318
2928,0.7218359375000001,152.6660646057129,151.55010864257812
2929,0.7384765625000004,152.5765493774414,151.53491752624507
2930,0.685703125,152.87006713867194,151.5940837860107
2931,0.6985156249999992,152.807551574707,151.58684844970708
2932,0.7228515624999996,152.66310050964364,151.55362403869637
2933,0.7247656249999992,152.69365135192874,151.5540690612793
2934,0.7124609375000003,152.7392634582519,151.56228569030762
2935,0.7021093749999996,152.79344177246102,151.58280670166013
2936,0.7259375000000002,152.65958160400388,151.55199081420898
2937,0.7217187500000001,152.66462974548335,151.54927772521972
2938,0.7250390624999993,152.66049522399913,151.54933700561523
2939,0.7021484375,152.78300445556644,151.58578277587884
2940,0.7225390624999999,152.64944267272955,151.55349037170407
2941,0.7196484374999996,152.64663345336922,151.54730392456054
2942,0.6997656249999996,152.77347908020022,151.57409660339354
2943,0.7025390625,152.73121963500975,151.5776666259766
2944,0.7076562500000001,152.75297096252447,151.57055442810068
2945,0.7257421874999995,152.6621868896485,151.53436370849622
2946,0.7307421874999998,152.65866577148444,151.5479503631592
2947,0.6995703124999997,152.82276855468737,151.5893453216552
2948,0.7124218749999996,152.71621154785151,151.56129463195808
2949,0.7250390625000003,152.65216300964363,151.54608551025396
2950,0.7265624999999999,152.6587023925782,151.54344657897957
2951,0.7069921874999996,152.77610809326163,151.56917007446285
2952,0.7253906250000004,152.650093383789,151.54991867065425
2953,0.7321093749999994,152.61905326843257,151.54095687866212
2954,0.6806640625000001,152.8239196777344,151.60307807922356
2955,0.7123828124999994,152.65268928527817,151.56964218139643
2956,0.7207421875000002,152.6694068145751,151.55423866271977
2957,0.7233593750000001,152.64964370727543,151.55296585083013
2958,0.7273828124999995,152.64866844177246,151.54806846618658
2959,0.7163281249999999,152.6982667541504,151.5512351226806
2960,0.7411718749999997,152.56731315612794,151.52949066162114
2961,0.7300781249999996,152.63470825195304,151.54272430419937
2962,0.7007421875000003,152.8214296722411,151.5793821716309
2963,0.7325781250000001,152.65109138488774,151.53836074829093
2964,0.7101953124999998,152.70336509704595,151.5775538635254
2965,0.7243359374999992,152.68777870178215,151.54586166381824
2966,0.7239843749999996,152.6586014556885,151.55217720031746
2967,0.7335546874999996,152.59934478759772,151.53595199584967
2968,0.7169921874999999,152.70933265686028,151.560051651001
2969,0.7172656249999996,152.70072219848623,151.55208938598642
2970,0.7093359374999996,152.72490722656246,151.56060394287104
2971,0.7016015624999995,152.73219520568847,151.5825547790527
2972,0.7307812500000002,152.64655624389655,151.54153373718256
2973,0.7179296874999999,152.70377464294438,151.5531795501709
2974,0.706171875,152.81666343688968,151.5618051910401
2975,0.7155078124999996,152.70864089965815,151.55984687805176
2976,0.6973828125,152.80030708312987,151.58480674743643
2977,0.7116015624999997,152.71845191955572,151.56682891845708
2978,0.6592968750000002,152.97830184936524,151.64683975219717
2979,0.7077343749999998,152.74548576354985,151.56837677001954
2980,0.7094531250000002,152.7345755004883,151.57288261413578
2981,0.7133203124999994,152.722296218872,151.5728453063964
2982,0.6987109374999999,152.75611129760748,151.5768092346192
2983,0.7201562499999999,152.68342926025386,151.54619689941404
